pid,rut
456,75981648-k
393,56350683-0
695,39038168-9
502,74500563-2
736,37204390-3
654,53087333-1
389,54122700-8
36,77020926-9
136,90594532-7
797,38100857-6
785,45273848-1
798,69691126-6
287,89077953-0
471,66284985-5
159,18076157-8
316,22913410-8
799,99302343-4
728,23047484-2
286,83028620-9
181,78479752-k
69,13938471-7
72,34966889-0
105,79625227-8
161,45589350-k
92,60517573-2
610,29522091-0
10,29728267-0
534,34048567-k
612,76081261-7
169,48161908-4
217,20034783-8
804,93129166-1
641,22545748-4
242,11077126-6
21,99116865-6
175,17459269-1
323,35480818-8
191,72157153-k
478,22760013-6
805,98357275-8
424,48996426-0
676,58378678-3
776,29004298-4
716,54726514-9
701,29637564-0
119,79344858-9
618,66658505-4
159,18076157-8
157,87634133-6
55,83917354-7
345,77785207-8
635,39043389-1
737,48592540-6
655,91258242-6
607,42814101-6
476,68225683-4
243,21823347-3
372,35656775-7
621,97632307-6
429,93635199-9
718,70638696-3
214,48176712-1
398,14002078-8
534,34048567-k
166,20032612-1
466,35115737-2
656,17341224-k
47,61995722-9
38,58000701-5
247,26617374-1
39,76160177-6
670,75020925-4
603,44626695-0
157,87634133-6
784,11118739-8
18,84964932-9
336,54451953-0
739,70433997-6
579,31726652-9
61,55012555-2
728,23047484-2
20,56781936-1
815,79974368-k
182,60854678-2
444,20467855-3
332,56093204-9
535,14197251-0
418,44380500-1
95,73543707-0
12,95435510-1
142,96863860-2
129,93066103-1
39,76160177-6
559,87371798-k
603,44626695-0
595,96213582-k
198,32211035-9
470,59890575-4
230,12815044-7
693,53331281-0
691,10537138-1
681,89751595-4
177,85884715-k
257,69777560-9
368,91461351-5
270,50511840-5
207,33199896-6
602,98152080-7
37,21924647-1
472,93176945-6
127,51827744-8
600,75397524-1
717,77191435-7
141,15460166-k
678,69186141-4
772,60456055-1
584,84593882-2
486,96735305-1
2,10348170-8
336,54451953-0
759,92060023-9
645,65485230-8
689,91957637-5
749,88107942-9
655,91258242-6
236,49718772-9
422,81234956-2
224,75903526-7
513,94362008-3
257,69777560-9
547,97166191-7
32,24945173-8
518,37925650-3
811,15795964-6
178,83386046-1
472,93176945-6
466,35115737-2
239,69135613-2
49,51667797-k
672,38629675-8
801,35340502-0
425,99937169-8
531,83123905-0
191,72157153-k
629,45624249-9
810,37780063-k
521,37117213-0
18,84964932-9
128,58496906-7
205,34012878-8
579,31726652-9
652,69822376-6
155,99748016-3
479,27003910-3
757,90730270-9
793,12969098-4
817,25696685-9
185,51093069-k
75,26635765-6
82,38717290-4
144,83118985-1
26,78166652-1
191,72157153-k
342,26475026-1
699,96251410-3
800,35155157-7
187,15373219-1
493,71796805-0
507,43123228-6
553,63214464-4
596,75357089-6
344,33006349-1
334,20820475-0
697,25002692-7
530,59105378-7
605,56744324-8
339,64043694-8
251,80600254-2
490,20694588-5
457,67314332-6
786,33461512-k
569,65175008-3
353,80228379-2
